"행사명",장소,행사내용,행사시작일자,행사종료일자,행사시간,요금정보,주관기관,주최기관,연락처,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,경도(WGS84좌표),위도(WGS84좌표),데이터기준일자
"북치고 장구치고",해남문화예술회관 다목적실,다원예술,2016-12-14,2016-12-14,1400-1600,무료,전라남도문화관광재단,전라남도문화관광재단,,,,,,,,http://,,,전라남도 해남군 해남읍 군청길 4,,,,2016-12-01
"현대음악의 저녁 - 프로코피에프","금호아트홀 연세,서귀포시 김정문화회관",음악,2016-12-12,2016-12-16,1930-2130,유료,마스트 미디어,마스트 미디어,,,390,"20,000",,학생할인 50프로,,,http://yskh.yonsei.ac.kr/sub02/sub01_1.html?num=48,,서울특별시 종로구 새문안로 75,,,,2016-12-01
"출산장려 인식개선 교육인형극-나도 동생이 생겼어요","초등학교 강당 3개교-동성초,부창초,원봉초",연극,2016-12-12,2016-12-14,1000-1500,무료,충남문화재단,"중앙초,내동초,광석초",,,,,,,,http://,,,충청남도 논산시 논산대로351번길 27,,,,2016-12-01
"클래식기타 선율로 빚어내는 낭만의 겨울이야기 기타갈라콘서트",청주아트홀,음악,2016-12-11,2016-12-11,1700-1830,무료,한국기타협회 충북지회,한국기타협회 충북지회,,"한국문화예술위원회, 충북문화재단",702,전석무료,7,전석무료,,,www.concertcho.com,Y,충청북도 청주시 서원구 예체로 118-1,,,,2016-12-01
"지역역사인물이야기-선화공주와 서동",초등학교 강당 2개교,연극,2016-12-12,2016-12-14,1200-1500,무료,충남문화재단,"연무중앙초,황화초",,,,,,,,http://,,,강원도 횡성군 횡성읍 문예로 75,,,,2016-12-01
2순위_코리안심포니오케스트라(코리안심포니오케스트라와 만나는 오페라 발레음악),횡성읍 횡성문화예술회관,음악,2016-12-12,2016-12-12,1930-2100,무료,한국문화예술회관연합회,한국문화예술회관연합회,,,,,,,,http://hsg.go.kr,,,충청남도 논산시 연무읍 연무로 211-14,,,,2016-12-01
"청소년과 함께하는 우리 전통문화 한마당",부산민속예술관 공연장,전통예술,2016-12-12,2016-12-12,-,유료,부산문화재단,부산문화재단,,,,,,,,http://www.pusanminsok.or.kr/,,,부산광역시 동래구 우장춘로(온천동 산13-3번지),,,,2016-12-01
"김혜진 피아노리사이틀 '재즈와 클래식의 만남'",현대백화점 충청점 7층 토파즈홀,음악,2016-12-12,2016-12-12,1900-2030,무료,김혜진,김혜진,,"한국문화예술위원회, 충청북도, 충북문화재단",,,6,,,,,Y,충청남도 청주시 흥덕구 직지대로 308,,,,2016-12-01
"위대한 작곡가 시리즈 1 쇼팽",제주시 문예회관 대극장,음악,2016-12-12,2016-12-12,1930-2100,유료,제주문화예술재단,제주 Beau Piano Duo,,,820,"20,000원",,,,,,Y,제주특별자치도 제주시 동광로 69,,,,2016-12-01
2016 전북합창제,김제문화예술회관,음악,2016-12-12,2016-12-12,-,무료,전라북도문화관광재단,전북합창연합,,,,무료,8,,,,,Y,전라북도 김제시 성산길 20,,,,2016-12-01
"전통음악연구회두레솔정기공연 - 좋다",제천 살레시오의 집,전통예술,2016-12-14,2016-12-14,1400-1500,무료,전통음악연구회두레솔,전통음악연구회두레솔,,"한국문화예술위원회, 충북문화재단",150,,,,,http://,,,충청북도 제천시 봉양읍 배론성지3길 24,,,,2016-12-01
"오페라 ‘시집가는 날’",CTS홀,음악,2016-12-13,2016-12-13,1900-2100,유료,서울문화재단,뉴서울오페라,,뉴서울오페라,404,유,7,무,무,www.nsopera.com,www.ticketpark.com,Y,서울특별시 동작구 노량진로 100,,,,2016-12-01
"제7회금파국악예술단 정기연주회",J아트홀(중울산새마을금고7층),전통예술,2016-12-13,2016-12-13,1930-2100,유료,울산광역시,금파국악예술단,,"울산광역시,한국문화예술위원회",220,10000원,,,,,,Y,울산광역시 중구 번영로 470,,,,2016-12-01
"제14회 포항예술가곡음악회 정기연주회",포항중앙아트홀,음악,2016-12-13,2016-12-13,1930-2100,무료,경상북도,포항예술가곡회,,,300,,,,,,,Y,경상북도 포항시 북구 중앙상가길 47,,,,2016-12-01
"정소산-달구벌에 춤빛 물들이다",천마아트센타,무용,2016-12-13,2016-12-14,1900-2020,유료,대구문화재단,김죽엽무용단,,,1889,,,,,http://,,Y,경상북도 경산시 대학로 280,,,,2016-12-01
"부산체임버뮤직소사이어티 정기연주회",금정문화회관 대공연장,음악,2016-12-13,2016-12-13,1930-2130,무료,부산문화재단,부산체임버뮤직소사이어티,,,,,,,,,,,부산광역시 금정구 체육공원로 7,,,,2016-12-01
1순위 - 헨젤과 그레텔,보성군문화예술회관(전남 보성군 보성읍 송재로 281-9),음악,2016-12-13,2016-12-13,1900-2030,유료,한국문화예술회관연합회,"한국문화예술위원회, 보성군문화예술회관(보성군)",,"기획재정부 복권위원회, 문화체육관광부",497,"5,000",,청소년 30프로 할인,,http://art.boseong.go.kr/,,Y,전라남도 보성군 보성읍 송재로 281-9,,,,2016-12-01
"이깐딴띠니 정기연주",우진문화공간 예술극장,음악,2016-12-13,2016-12-13,-,무료,전라북도문화관광재단,이깐딴띠니,,전라북도문화관광재단,165,,8,,,,,Y,전라북도 전주시 덕진구 전주천동로 376,,,,2016-12-01
"제34회 대구멜로스합주단 정기연주회",대구 콘서트하우스 콘서트홀,음악,2016-12-13,2016-12-13,1930-2130,유료,대구문화재단,대구멜로스합주단,,,1284,10000,,,,http://www.daegucitizenhall.org/citizen/,,Y,대구광역시 중구 태평로 141,,,,2016-12-01
"찾아가는 음악회 - 국내 정상급 성악가와 함께하는 합창콘서트",경포고등학교 체육관,음악,2016-12-13,2016-12-13,1430-1600,무료,강원문화재단,횡성합창단,,,500,,,,,다음카페 횡성합창단,,Y,강원도 강릉시 강릉대로547번길 14,,,,2016-12-01
"오페라 망부석",중구문화의전당,음악,2016-12-13,2016-12-16,1930-2100,무료,울산문수오페라단,울산문수오페라단,,울산광역시,,,,,,,,,울산광역시 중구 종가로 405,,,,2016-12-01
"창극 고불 맹사성 전",아산 여성회관 대극장,전통예술,2016-12-14,2016-12-14,1530-1700,무료,사단법인 판소리고법보존회아산지부,사단법인 판소리고법보존회아산지부,,,520,무료,,,,,,Y,충청남도 아산시 충무로97번길 16,,,,2016-12-01
"소리樂 · 즐거울樂",서산시 문화회관,전통예술,2016-12-14,2016-12-14,-,무료,충남문화재단,뜬쇠예술단,,,600,,,,,http://imsori.com,,Y,충청남도 서산시 문화로 54,,,,2016-12-01
"특별한 배달",소극장 우전,연극,2016-12-14,2016-12-18,1214-1218,유료,대구문화재단,극단 마루,,,90,,,"현매 : 20,000원- 청소년 할인 40프로 - 장애인 및 국가 유공자 할인 50프로 - 친구, 가족 4인 묶음 : 45,000원- 10인 이상 단체 할인 : 50프로",,cafe.daum.net/2004maru,,N,대구광역시 남구 현충로 256,,,,2016-12-01
2016 겨울이 만드는 드라마,삼척문화예술회관 소공연장,연극,2016-12-14,2016-12-14,1930-2100,무료,극단 신예,극단 신예,,강원도 강원문화재단 삼척시,248,무료,,,,http://cafe.daum.net/sct-company,,Y,강원도 삼척시 엑스포로 45,,,,2016-12-01
"엘렉트라 인 서울",아트홀 마리카2관,연극,2016-12-14,2016-12-25,2000-2125,유료,한국문화예술위원회,극단 춘추,,,160,"일반 25,000원 / 학생 15,000원",,"경로우대 30프로, 국가유공자 우대 30프로",,http://,,,서울특별시 종로구 대학로11길 23,,,,2016-12-01
"셰익스피어 서거 400주년 - Othello (굿모닝 데스데모나)",원주 MBC 아트홀,연극,2016-12-14,2016-07-17,2000-2130,유료,강원문화재단,극단치악무대,,,200,"성인 20,000원/청소년 12,000원",13,"조기예매 50프로, 대학생 30프로, 직장인 30프로, 장애인/국가유공자 50프로",* 일요일 15:00시 공연,http:/cafe.naver.com/chiaktheater,,Y,강원도 강원 원주시 학성길 67,,,,2016-12-01
"남원 제성 가야금회  전통 창작 발표회 - 저 너머에 우리가 가야할 길 -",한국소리문화의전당 명인홀,전통예술,2016-12-14,2016-12-14,1900-2030,무료,전라북도문화관광재단,남원제성가야금회,,,,,,,,http://,,Y,전라북도 전북 전주시 덕진구 소리로 31,,,,2016-12-01
"콩칠팔 새삼륙",대학로 아트원씨어터 1관,연극,2016-12-14,2017-01-08,1300-2300,유료,한국문화예술위원회,콩칠팔 프로덕션,,,345,,,,,,,,서울특별시 종로구 대학로12길 83,,,,2016-12-01
"하륵이야기",춘천인형극장,연극,2016-12-15,2016-12-15,1100-1600,유료,한국문화예술회관연합회,"한국문화예술위원회, 춘천시문화재단",,"기획재정부 복권위원회, 문화체육관광부",494,5천원,5,,,www.cccf.or.kr,,Y,강원도 춘천시 영서로 3017,,,,2016-12-01
2016 음악과 함께 떠나는 겨울여행,설악 문화센터 2층 공연장,음악,2016-12-15,2016-12-15,1900-2030,무료,(사)속초시 음악협회,(사)속초시 음악협회,,"강원문화재단, 속초시",150,무료,,,,www.artsokcho.com,,Y,강원도 속초시 관광로 439,,,,2016-12-01
"이옥란 댄스시어터와 함께하는 '2016 랄랄라 댄스 프로젝트'","현도 희락원, 영동 황간중학교",무용,2016-12-15,2016-12-22,1400-1500,무료,충북문화재단,이옥란댄스시어터,,,200,,,,,http://,,,충청북도 영동군 황간면 황간로 66,,,,2016-12-01
"다페르튜토 스튜디오",서강대 메리홀 소극장,다원예술,2016-12-15,2016-12-18,1215-1218,무료,서울문화재단,다페르튜토 스튜디오,,,,,,,,http://www.dappertuttostudio.com,,N,서울특별시 마포구 백범로 35,,,,2016-12-01
"연변엄마",아름다운 극장,연극,2016-12-15,2016-12-31,2000-2140,유료,서울문화재단,달나라동백꽃,,,,,,,,http://cafe.naver.com/moontheater2011,,,서울특별시 종로구 성균관로4길 48,,,,2016-12-01
"최미란 가야금 독주회 현상양심 Ⅳ",국립부산국악원 예지당,전통예술,2016-12-15,2016-12-15,1930-2100,무료,최미란,최미란,,,,,,,,,,,부산광역시 부산진구 국악로 2,,,,2016-12-01
"타조소년들",나주문화예술회관,연극,2016-12-15,2016-12-15,1500-1630,무료,한국문화예술회관연합회,"문화체육관광부, 한국문화예술위원회",,복권위원회,548,무료,12,,,http://najuart.naju.go.kr,http://www.ticketlink.co.kr,Y,전라남도 나주시 예향로 4137,,,,2016-12-01
2순위 - 백중사 이야기,보성군문화예술회관(전남 보성군 보성읍 송재로 281-9),연극,2016-12-15,2016-12-15,1900-2030,유료,한국문화예술회관연합회,"한국문화예술위원회, 보성군문화예술회관(보성군)",,"기획재정부 복권위원회, 문화체육관광부",497,6000,15,청소년 30프로 할인,,http://art.boseong.go.kr/,,Y,전라남도 보성군 보성읍 송재로 281-9,,,,2016-12-01
"뮤직 드라마 - 대명동",대구음악창작소 창공홀,음악,2016-12-15,2016-12-15,1930-2100,무료,대구현대음악오케스트라,대구현대음악오케스트라,,"대구문화재단,한국문화예술위원회",100,,,,,www.vanmusic.kr,,Y,대구광역시 남구 중앙대로49길 14,,,,2016-12-01
"재즈파크빅밴드와 유열의 힐링콘서트",상주문화회관,다원예술,2016-12-15,2016-12-15,1900-2100,무료,한국문화예술회관연합회,"한국문화예술위원회,상주시",,"복권위원회,문화체육관광부",512,무료,8,,,http://sangju.go.kr,,Y,경상북도 상주시 상산로 235,,,,2016-12-01
"상처투성이 운동장",나온 씨어터,연극,2016-12-15,2016-12-31,-,유료,서울문화재단,서울문화재단,,,,,,,,http://,,,서울특별시 종로구 혜화로9길 7 지하1층,,,,2016-12-01
"소양강 처녀",인제하늘내린센터,연극,2016-12-15,2016-12-15,1600-1730,무료,강원문화재단,(사)문화프로덕션도모,,,,,,,,,,,강원도 인제군 인제읍 비봉로44번길 100,,,,2016-12-01
"김영자의 춤",해남문화예술회관,무용,2016-12-15,2016-12-15,1400-1530,유료,전라남도문화관광재단,개인발표회,,,750,,,"장애우, 학생 무료초대",,http://,,Y,전라남도 해남군 해남읍 군청길 4,,,,2016-12-01
"연극<용을잡는사람들>",명덕로 100 (고도5층극장),연극,2016-12-15,2016-12-18,2000-2120,유료,대구문화재단,극단고도,,,100,"30,000원",12,,,http ;//cafe.naver.com/thegodot,,N,경상남도 창녕군 창녕읍 명덕로 100,,,,2016-12-01
Accompanist 조그린 연주회 -  겨울나그네,한국소리문화의전당 연지홀,음악,2016-12-15,2016-12-15,1900-2100,유료,전라북도문화관광재단,한양대학교 일반대학원,,,,,,,,http://,,,전라북도 전북 전주시 덕진구 소리로 31,,,,2016-12-01
"묵호자나르샤",구미문화예술회관,무용,2016-12-15,2016-12-15,1900-2000,무료,백경원무용단,백경원무용단,,경상북도,1211,,,,,http://,,Y,경상북도 구미시 송정대로 89,,,,2016-12-01
"교사극단 초록칠판 정기공연",충남학생교육문화원,연극,2016-12-15,2016-12-17,1800-2030,무료,충남문화재단,교사극단 초록칠판,,충남학생교육문화원,400,,,,,http://cafe.daum.net/catheatre,,Y,충청남도 천안시 동남구 옛농고1길 41,,,,2016-12-01
"제12회 드림악단 불우이웃돕기 정기연주회",초전초등학교 강당,음악,2016-12-15,2016-12-15,1700-2000,무료,성주드림악단,성주드림악단,,성주신문 성주방송,400,,,,,,,Y,경상남도 진주시 초전북로62번길 9,,,,2016-12-01
6회 충청북도 시낭송회,충북 예총 1층 따비홀,문학,2016-12-16,2016-12-16,1700-1900,무료,충북문화재단,사)한국시낭송전문가협회,,,100,무료,,,,http;//www.cafe.daum.net/cj2007,,,충청북도 청주시 청원구 충청대로 103,,,,2016-12-01
"가얏고의 히스토리텔링 2",명주예술마당,전통예술,2016-12-15,2016-12-15,1930-2100,무료,강원문화재단,한소리전통예술단,,,200,무료,,,,http://www.facebook.com/hansori7323,,Y,강원도 강릉시 강릉대로 172,,,,2016-12-01
2016 창작산실 연극 <인어; 바다를 부른 여인>,대학로예술극장 소극장,연극,2016-12-16,2016-12-31,2000-2140,유료,한국문화예술위원회,창작집단 꼴,,,,,,,,http://m.cafe.naver.com/bastardoartistas,,,서울특별시 종로구 대학로10길 17,,,,2016-12-01
"명곡 시리즈Ⅳ",제주대학교 아라뮤즈홀,음악,2016-12-16,2016-12-16,1930-2100,유료,제주체임버오케스트라,제주체임버오케스트라,,,,,,,,,,,제주특별자치도 제주시 일주동로 61,,,,2016-12-01
"지역민과 함께하는 가을 음악회 및 제2회 정기연주회",의성군민회관,예술일반,2016-12-16,2016-12-16,1830-2030,무료,경상북도,은빛사랑연주단,,,,,,,,http://,,,경상북도 의성군 의성읍 군청길 31,,,,2016-12-01
"현대자동차그룹과 함께하는 2016 해피존 티켓나눔",과천시민회관 대극장,무용,2016-12-16,2016-12-17,1930-2130,유료,한국문화예술회관연합회,한국문화예술회관연합회,,복권위원회 / 문화체육관광부,919,R석 3만원 / S석 1만5천원,4,,,http://www.gccs.or.kr/dev_home/index.php,,Y,경기도 과천시 통영로 5,,,,2016-12-01
"‘몽(夢), 춤의 대지",대전예술의전당 앙상블홀,무용,2016-12-16,2016-12-16,1216-1216,유료,한국문화예술회관연합회,한국문화예술회관연합회,,대전광역시,1546,"2만원, 1만원",,,,www.djac.or.kr,,Y,대전광역시 서구 둔산대로 135,,,,2016-12-01
2016 바이날로그 콘서트 With Video & Sound art(가제),플랫폼창동61,전통예술,2016-12-16,2016-12-16,2000-2130,무료,보름달 컴퍼니,바이날로그,,"서울시, 한국문화예술위원회, 서울문화재단",400,0,7,,주차장은 공연장 근처 임시 주차장 이용.,http://www.platform61.kr,http://ticket.interpark.com,N,서울특별시 도봉구 마들로11길 74,,,,2016-12-01
"동서예술교류 - 우리는 하나",전라남도청 1층 로비,무용,2016-12-16,2016-12-16,1400-1600,무료,전라남도문화관광재단,한국무용협회 전라남도지회,,,,,,,,,,,전라남도 전남 무안군 삼향읍 오룡길 1,,,,2016-12-01
"유럽-대한민국(대구) 교류음악회",지산동 1137번지 수성아트피아 무학홀,음악,2016-12-16,2016-12-16,1930-2200,유료,"(사)아트애비뉴컴퍼니, 수성아트피아","(사)아트애비뉴컴퍼니, 수성아트피아",,,1169,"10,000원, 20,000원",8,,,www.aacompany.net,,Y,대구광역시 지산동 1137번지 수성아트피아 무학홀,,,,2016-12-01
"화음쳄버오케스트라 창단 20주년기념 송년음악회 <화음, 영화와 음악>",예술의전당 콘서트홀,음악,2016-12-16,2016-12-16,2000-2130,유료,사단법인 화음,사단법인 화음,,,,,,,,,,,서울특별시 서초구 남부순환로 2406,,,,2016-12-01
"북콘서트 BOOK 덕(德) BOOK 덕(德) '종이배타고 떠나는 인천 섬 여행'",인천광역시 중구 제물량로 218번길 3(해안동 1가) 인천아트플랫폼 H동 1층 커뮤니티 홀,예술일반,2016-12-16,2016-12-16,1930-2100,무료,한국문화예술위원회,인천문화재단,,,,,,,,www.ifac.or.kr,www.ifac.or.kr,N,인천광역시 중구 제물량로218번길 3,,,,2016-12-01
"음악극 [아름다운 혼, 시인 윤동주]",부암아트홀,다원예술,2016-12-28,2016-12-28,1930-2050,무료,한국문화예술회관연합회,"문화융성위원회, 문화체육관광부",,,,,,,,,,,서울특별시 종로구 자하문로 242 부암아트빌딩 5층,,,,2016-12-01
"한국 가곡 프로젝트 ‘시(詩), 그리움을 노래하다’",건국대학교 새천년관,음악,2016-12-28,2016-12-28,1930-2130,무료,한국문화예술회관연합회,"문화융성위원회, 문화체육관광부",,,800,,,,,http://www.groovers.kr,,Y,경기도 성남시 분당구 대왕판교로645번길 16,,,,2016-12-01
"청주복합문화체험장 두 번째 프로젝트 ‘문화예술이 살아 숨 쉬는 충북’",씨어터제이,예술일반,2016-12-28,2016-12-28,1930-2100,무료,충북문화재단,청주복합문화체험장,,,250,,12,,,,,N,충청북도 청주시 상당구 상당로69..,,,,2016-12-01
"임교민 국악피아노 '깊음, 높음'",대구문화예술회관 비슬홀,전통예술,2016-12-28,2016-12-28,1930-2100,유료,대구문화재단,대구문화재단,,,241,1만원,,"사전전화예매 1만원, 당일구매 2만원",전화예매,http://artcenter.daegu.go.kr/,http://artcenter.daegu.go.kr/,Y,대구광역시 달서구 공원순환로 201,,,,2016-12-01
"기억 아카이브 - archive",수성아트피아 용지홀,무용,2016-12-28,2016-12-28,1930-2030,무료,대구문화재단,대구문화재단,,,,,,,,,,,대구광역시 수성구 무학로 180,,,,2016-12-01
"전제덕 하모니카 콘서트 <Dancing Bird>",창녕문화예술회관 대공연장,다원예술,2016-12-28,2016-12-28,1900-2040,무료,한국문화예술회관연합회,창녕군,,,496,,8,,,http://art.cng.go.kr,,Y,경상남도 창녕군 창녕읍 우포2로 1189-25,,,,2016-12-01
"전통창작음악극 매화뎐",강릉단오문화관,전통예술,2016-12-28,2016-12-28,1900-2000,무료,강원문화재단,연희극단 해랑,,,400,,,,,http://cafe.naver.com/haerangart,,Y,강원도 강릉시 단오장길 1,,,,2016-12-01
"오마주 투 심청",플랫폼창동61 레드박스,전통예술,2016-12-28,2016-12-29,-,유료,권송희판소리프로젝트,권송희판소리프로젝트,,,,,,,,,,,서울특별시 도봉구 마들로11길 74 (,,,,2016-12-01
"고추장사 서일록씨의 잔혹한 하룻밤",성주생활문화센터 강당,연극,2016-12-28,2016-12-28,1100-1200,무료,극단 연극촌사람들,극단 연극촌사람들,,,50,,20,,,,,Y,경상북도 성주군 금수면 성주로 1903,,,,2016-12-01
2016 송년 가무악 큰잔치,국립국악원 예악당,전통예술,2016-12-28,2016-12-28,1930-2130,유료,서울문화재단,(사)민족음악원,,,706,"20,000원~30,000원",,,,http://www.samulnori.com,http://www.gukak.go.kr,Y,충청남도 예산군 오가면 내양막길 233-8,,,,2016-12-01
"융복합 공연_희망 정거장 프로젝트",동작문화복지센터,연극,2016-12-28,2016-12-28,1900-2020,무료,한국문화예술회관연합회,"문화융성위원회,문화체육관광부",,,537,,8,,,www.rebel.kr,,Y,서울특별시 동작구 장승배기로10길 42,,,,2016-12-01
"호두까기인형",김포아트홀,무용,2016-12-28,2016-12-28,1900-2030,유료,"문화체육관광부, 한국문화예술위원회, 김포아트홀","문화체육관광부, 한국문화예술위원회, 김포아트홀",,,,,,,,,,,경기도 김포시 돌문로 26,,,,2016-12-01
"지역예술활동지원(단체)",경화여중 강당,음악,2016-12-29,2016-12-29,1500-1700,무료,경기문화재단,경기광주시오페라닺,,,1200,,,,,http://cafe.naver.com/gcopera,,,경기도 광주시 수하길11번길 24,,,,2016-12-01
"어린이 문화 활성화를 지향하는 동요 르네상스 선도 및 해외 동포 민족문화 계승 발전에 기여하는 창작동요 보급",목포연동초등학교,음악,2016-12-29,2016-12-30,1700-1900,무료,전남문화예술재단,김남삼,,,,,,,,,,,전라남도 목포시 연동로17번길 9,,,,2016-12-01
2016 찾아가는 '톡톡' 실용무용 공연,괴산 청소년문화의 집 (여성청소년),무용,2016-12-30,2016-12-30,1400-1500,무료,충북문화재단,한국실용무용지도자협회/전윤주무용단,,"충북문화재단, 한국문화예술위원회",50,0,15,,,www.koreamodernbelly.com,www.koreamodern.com,Y,충청북도 청주시 상당구 쇠내로 86,,,,2016-12-01
